flightNo,airlineCode,tailNumber,aircraftType,from,to,schedDep,schedArr,actualDep,actualArr,econSeats,busSeats,econPax,busPax,cargoKg,cargoCapacityKg,paxRevenueUsd,ancillaryRevenueUsd,cargoRevenueUsd,crewCostUsd,ownershipCostUsd,maintenanceCostUsd,overheadCostUsd,navCostUsd,airportCostUsd,fuelKg,distanceKm
TK3301,TK,TC-LJB,B77W,IST,BKK,2026-03-15T07:30,2026-03-15T16:55,2026-03-15T07:31,2026-03-15T16:44,300,49,246,33,1313,25000,223995,5022,44951,31640,56500,20717,3296,10954,6746,59676,7200
TK3401,TK,TC-LLC,B789,IST,NRT,2026-03-15T08:30,2026-03-15T19:40,2026-03-15T08:42,2026-03-15T19:46,270,30,221,20,1313,18000,231120,4338,38100,29703,55833,18983,3908,17809,11546,51062,8950
TK3501,TK,TC-JNC,A333,IST,SIN,2026-03-15T09:30,2026-03-15T20:20,2026-03-15T09:15,2026-03-15T20:01,261,28,214,19,1313,15000,213210,4194,36293,27300,45500,17333,3792,12219,6994,52859,8630
TK4101,TK,TC-LJC,B77W,FRA,JFK,2026-03-15T12:30,2026-03-15T20:20,2026-03-15T12:15,2026-03-15T20:13,300,49,246,33,1313,25000,212299,5022,30551,26320,47000,17233,2742,11814,14179,49751,6200
TK4103,TK,TC-LLA,B789,FRA,ORD,2026-03-15T13:00,2026-03-15T21:45,2026-03-15T13:00,2026-03-15T21:48,270,30,221,20,9600,18000,175375,4338,22753,23275,43750,14875,3062,10998,9452,40217,6970
TK4201,TK,TC-LLB,B789,AMS,JFK,2026-03-15T12:45,2026-03-15T20:15,2026-03-15T12:38,2026-03-15T19:54,270,30,221,20,10240,18000,167750,4338,20359,19950,37500,12750,2625,9489,10594,34152,5850
TK4301,TK,TC-LJA,B77W,CDG,JFK,2026-03-15T12:20,2026-03-15T19:45,2026-03-15T12:33,2026-03-15T20:01,300,49,246,33,14740,25000,219222,5022,29235,24920,44500,16317,2596,11136,14179,47089,5840
TK4401,TK,TC-LLC,B789,LHR,JFK,2026-03-15T11:00,2026-03-15T18:05,2026-03-15T10:54,2026-03-15T17:56,270,30,221,20,1212,18000,179950,4338,21096,18842,35417,12042,2479,8990,10594,32491,5540
TK4403,TK,TC-JNA,A333,LHR,ORD,2026-03-15T14:00,2026-03-15T22:05,2026-03-15T13:47,2026-03-15T21:47,261,28,214,19,8250,15000,170404,4194,17797,20370,33950,12933,2829,9771,8986,39324,6350
TK4501,TK,TC-JNB,A333,MAD,JFK,2026-03-15T13:30,2026-03-15T20:50,2026-03-15T14:00,2026-03-15T21:25,261,28,214,19,8700,15000,152776,4194,17044,18480,30800,11733,2567,9127,10072,35945,5760
TK5101,TK,TC-LJB,B77W,DXB,BKK,2026-03-15T14:00,2026-03-15T20:20,2026-03-15T14:05,2026-03-15T20:33,300,49,246,33,1212,25000,165378,5022,21036,21280,38000,13933,2217,7151,6746,39926,4890
TK5103,TK,TC-LLA,B789,DXB,SIN,2026-03-15T15:00,2026-03-15T22:30,2026-03-15T15:09,2026-03-15T22:46,270,30,221,20,1212,18000,143350,4338,24486,19950,37500,12750,2625,8432,7358,34141,5850
TK5201,TK,TC-LJC,B77W,DOH,BKK,2026-03-15T13:45,2026-03-15T20:35,2026-03-15T13:32,2026-03-15T20:15,300,49,246,33,1212,25000,161532,5022,28830,22960,41000,15033,2392,7700,6746,42749,4490
TK5203,TK,TC-JNC,A333,DOH,NRT,2026-03-15T14:30,2026-03-16T00:50,2026-03-15T14:30,2026-03-16T00:48,261,28,214,19,1212,15000,188490,4194,30047,26040,43400,16533,3617,16065,10978,50653,8280
TK6101,TK,TC-LLB,B789,FRA,NRT,2026-03-15T13:20,2026-03-16T00:55,2026-03-15T13:30,2026-03-16T01:08,270,30,221,20,1212,18000,211860,4338,37705,30812,57917,19692,4054,18577,11546,53152,9350
KL6201,KL,TC-LJA,B77W,AMS,BKK,2026-03-15T14:15,2026-03-16T01:40,2026-03-15T14:06,2026-03-16T01:39,300,49,246,33,121,25000,207555,5022,47517,38360,68500,25117,3996,13426,6746,72387,9430
TK7101,TK,TC-JHA,B738,IST,ESB,2026-03-15T06:00,2026-03-15T07:05,2026-03-15T06:14,2026-03-15T07:15,151,14,124,10,360,3000,4608,2412,123,1441,1733,867,379,296,1139,1953,350
TK7103,TK,TC-JHB,B738,IST,ESB,2026-03-15T18:00,2026-03-15T19:05,2026-03-15T17:59,2026-03-15T19:03,151,14,124,10,324,3000,4608,2412,1234,1441,1733,867,379,296,1139,1953,350
TK7201,TK,TC-NBA,A20N,IST,AYT,2026-03-15T07:00,2026-03-15T08:15,2026-03-15T07:04,2026-03-15T08:10,168,12,138,8,425,3000,6930,2628,789,1662,2375,1062,438,403,1294,2062,470
TK7401,TK,TC-NBB,A20N,ESB,IST,2026-03-15T09:00,2026-03-15T10:05,2026-03-15T08:59,2026-03-15T09:54,168,12,138,8,340,3000,5236,2628,900,1441,2058,921,379,325,1756,1731,350
TK7501,TK,TC-JHC,B738,SAW,ESB,2026-03-15T07:15,2026-03-15T08:15,2026-03-15T07:51,2026-03-15T08:58,151,14,124,10,270,3000,4032,2412,789,1330,1600,800,350,252,1139,1795,400
TK4999,TK,TC-JNC,A333,FRA,JFK,2026-03-15T09:20,2026-03-15T17:10,2026-03-15T09:28,2026-03-15T17:29,261,28,214,19,900,3000,162178,4194,18937,19740,32900,12533,2742,9803,10072,38418,6200
TK7101,TK,TC-JHA,B738,IST,ESB,2026-03-14T06:00,2026-03-14T07:05,2026-03-14T05:55,2026-03-14T07:00,151,14,124,10,360,2500,4608,2412,21,1441,1733,867,379,296,1139,1953,380
QR701,QR,A7-BAA,B77W,DOH,JFK,2026-03-14T07:45,2026-03-14T22:30,2026-03-14T08:53,2026-03-14T23:23,300,49,238,32,165,20000,333506,4860,77798,45078,80496,29515,4696,20557,14179,85241,10769
LH400,LH,D-AIHK,B789,FRA,JFK,2026-03-14T10:15,2026-03-14T18:59,2026-03-14T10:57,2026-03-14T19:26,270,30,209,17,8389,14000,145059,4068,17652,20509,38551,13107,2699,10043,10594,35405,6189
TK2103,TK,TC-JNA,A333,IST,DXB,2026-03-14T10:30,2026-03-14T15:04,2026-03-14T10:27,2026-03-14T15:01,261,28,214,19,1125,15000,75800,4194,8858,10500,17500,6667,1458,3997,6088,19945,3028
OS087,OS,OE-LPA,B789,VIE,JFK,2026-03-14T11:15,2026-03-14T20:47,2026-03-14T11:15,2026-03-14T20:47,270,30,205,16,9224,14000,155968,3978,21341,22551,42388,14412,2967,11043,10594,38928,6805
TK1103,TK,TC-NBA,A20N,IST,FRA,2026-03-14T11:30,2026-03-14T14:30,2026-03-14T11:27,2026-03-14T14:27,168,12,138,8,850,2000,32724,2628,406,3879,5542,2479,1021,1895,3448,5351,1838
KL641,KL,PH-BHA,B789,AMS,JFK,2026-03-14T12:05,2026-03-14T20:22,2026-03-14T11:53,2026-03-14T20:10,270,30,206,16,7927,14000,134640,3996,15761,19379,36427,12385,2550,9490,10594,33454,5848
TK4101,TK,TC-LJC,B77W,FRA,JFK,2026-03-14T12:30,2026-03-14T21:14,2026-03-14T12:50,2026-03-14T21:24,300,49,246,33,1313,20000,212299,5022,30551,26320,47000,17233,2742,11814,14179,49751,6189
TK5101,TK,TC-LJB,B77W,DXB,BKK,2026-03-14T14:00,2026-03-14T21:02,2026-03-14T14:30,2026-03-14T21:17,300,49,246,33,1212,20000,165378,5022,21036,21280,38000,13933,2217,7151,6746,39926,4904
EK201,EK,A6-ENA,B77W,DXB,JFK,2026-03-15T03:15,2026-03-15T18:19,2026-03-15T05:15,2026-03-15T20:04,300,49,241,33,169,20000,345738,4932,81400,46049,82230,30151,4797,21000,14179,87077,11001
TK2201,TK,TC-JNB,A333,IST,DOH,2026-03-15T06:00,2026-03-15T10:13,2026-03-15T07:35,2026-03-15T11:42,261,28,214,19,10200,15000,69105,4194,7309,9660,16100,6133,1342,3517,5424,18364,2756
TK1301,TK,TC-JHA,B738,IST,CDG,2026-03-15T06:10,2026-03-15T09:40,,,151,14,124,10,900,2500,33110,2412,518,4544,5467,2733,1196,2337,3322,7228,2214
TK7301,TK,TC-JTA,A20N,ADB,IST,2026-03-15T07:00,2026-03-15T08:03,2026-03-15T08:23,2026-03-15T09:20,168,12,138,8,700,2000,2898,24,1517,2383,975,379,310,1302,1862,3333,359
TK3101,TK,TC-LJA,B77W,IST,JFK,2026-03-15T08:00,2026-03-15T19:09,,,300,49,246,33,123,20000,256875,5022,43228,33600,60000,22000,3500,15323,14179,63537,8027
TK7401,TK,TC-NBB,A20N,ESB,IST,2026-03-15T09:00,2026-03-15T10:05,2026-03-15T08:59,2026-03-15T10:04,168,12,138,8,340,2000,5236,2628,19,1441,2058,921,379,325,1756,1731,380
SQ12,SQ,9V-SMA,B789,SIN,NRT,2026-03-15T09:10,2026-03-15T16:48,2026-03-15T09:10,2026-03-15T16:48,270,30,207,17,7262,14000,124470,4032,13229,17755,33375,11347,2336,8695,10594,30651,5358
BA177,BA,G-STBA,B77W,LHR,JFK,2026-03-15T11:30,2026-03-15T19:22,2026-03-15T11:55,2026-03-15T19:34,300,49,236,31,85,20000,169662,4806,20617,23190,41410,15184,2416,10575,14179,43851,5540
TK1403,TK,TC-JHB,B738,IST,LHR,2026-03-15T11:45,2026-03-15T15:36,2026-03-15T12:40,2026-03-15T16:25,151,14,124,10,810,2500,36652,2412,524,4988,6000,3000,1312,2971,5282,7997,2488
TK1203,TK,TC-NBB,A20N,IST,AMS,2026-03-15T12:00,2026-03-15T15:27,2026-03-15T12:38,2026-03-15T15:59,168,12,138,8,816,2000,34344,2628,463,4544,6492,2904,1196,2196,3195,6181,2184
AF006,AF,F-HPJA,B77W,CDG,JFK,2026-03-15T13:20,2026-03-15T21:36,2026-03-15T14:45,2026-03-15T22:46,300,49,241,32,89,20000,182650,4914,22729,24416,43600,15987,2543,11135,14179,46171,5833
TK3103,TK,TC-LLA,B789,IST,JFK,2026-03-15T13:30,2026-03-16T00:39,,,270,30,221,20,10880,14000,200625,4338,29692,26600,50000,17000,3500,13026,10594,45919,8027
EK372,EK,A6-EQA,B77W,DXB,BKK,2026-03-16T04:20,2026-03-16T11:22,2026-03-16T04:20,2026-03-16T11:22,300,49,224,29,75,20000,142310,4554,16103,20528,36656,13441,2138,9361,14179,38817,4904
TK1501,TK,TC-NBC,A20N,IST,VIE,2026-03-16T06:30,2026-03-16T08:42,2026-03-16T06:52,2026-03-16T08:58,168,12,138,8,680,2000,28350,2628,216,2882,4117,1842,758,1200,2594,3878,1224
TK1601,TK,TC-JHC,B738,IST,MAD,2026-03-16T07:00,2026-03-16T11:08,2026-03-16T06:59,2026-03-16T11:07,151,14,124,10,756,2500,36190,2412,531,5431,6533,3267,1429,2582,2341,8598,2703
TK3301,TK,TC-LJB,B77W,IST,BKK,2026-03-16T07:30,2026-03-16T17:58,2026-03-16T08:17,2026-03-16T18:30,300,49,246,33,1313,20000,223995,5022,44951,31640,56500,20717,3296,10954,6746,59676,7512
TK3201,TK,TC-LLB,B789,IST,ORD,2026-03-16T09:00,2026-03-16T21:09,2026-03-16T09:29,2026-03-16T21:23,270,30,221,20,10400,14000,199020,4338,31069,29038,54583,18558,3821,13862,9452,50022,8786
LH430,LH,D-AIMA,B77W,FRA,ORD,2026-03-16T09:40,2026-03-16T19:25,2026-03-16T09:40,2026-03-16T19:25,300,49,221,27,107,20000,198295,4464,32658,29180,52107,19106,3040,13307,14179,55178,6971
TK4201,TK,TC-LLB,B789,AMS,JFK,2026-03-16T12:45,2026-03-16T21:02,2026-03-16T13:18,2026-03-16T21:20,270,30,221,20,10240,14000,167750,4338,20359,19950,37500,12750,2625,9489,10594,34152,5848
TK4103,TK,TC-LLA,B789,FRA,ORD,2026-03-16T13:00,2026-03-16T22:45,2026-03-16T12:56,2026-03-16T22:41,270,30,221,20,9600,14000,175375,4338,22753,23275,43750,14875,3062,10998,9452,40217,6971
TK5103,TK,TC-LLA,B789,DXB,SIN,2026-03-16T15:00,2026-03-16T23:16,,,270,30,221,20,1212,14000,143350,4338,24486,19950,37500,12750,2625,8432,7358,34141,5845
NH010,NH,JA789A,B789,NRT,JFK,2026-03-16T17:25,2026-03-17T08:15,2026-03-16T18:17,2026-03-17T08:52,270,30,209,16,14000,14000,252689,4050,51543,35885,67454,22934,4722,17573,10594,61948,10829
TK7103,TK,TC-JHB,B738,IST,ESB,2026-03-16T18:00,2026-03-16T19:05,2026-03-16T17:56,2026-03-16T19:01,151,14,124,10,324,2500,4608,2412,18,1441,1733,867,379,296,1139,1953,380
KL809,KL,PH-BVA,B77W,AMS,BKK,2026-03-16T20:45,2026-03-17T09:27,2026-03-16T20:45,2026-03-17T09:27,300,49,226,30,141,20000,270348,4608,56839,38539,68820,25234,4015,17576,14179,72877,9207
QR836,QR,A7-BEA,A333,DOH,SIN,2026-03-17T01:30,2026-03-17T10:15,2026-03-17T01:42,2026-03-17T10:21,261,28,194,16,2306,15000,140019,3780,37213,21520,35867,13664,2988,8192,6088,40878,6206
TK7201,TK,TC-NBA,A20N,IST,AYT,2026-03-17T07:00,2026-03-17T08:16,2026-03-17T08:50,2026-03-17T10:00,168,12,138,8,425,2000,6930,2628,33,1662,2375,1062,438,403,1294,2062,518
TK3401,TK,TC-LLC,B789,IST,NRT,2026-03-17T08:30,2026-03-17T20:54,2026-03-17T08:31,2026-03-17T20:54,270,30,221,20,1313,14000,231120,4338,38100,29703,55833,18983,3908,17809,11546,51062,8979
TK3501,TK,TC-JNC,A333,IST,SIN,2026-03-17T09:30,2026-03-17T21:30,2026-03-17T10:05,2026-03-17T21:50,261,28,214,19,1313,15000,213210,4194,36293,27300,45500,17333,3792,12219,6994,52859,8678
BA294,BA,G-ZBKA,B789,LHR,ORD,2026-03-17T10:50,2026-03-17T19:46,2026-03-17T11:45,2026-03-17T20:26,270,30,203,15,8600,14000,143451,3924,18552,21026,39523,13438,2767,10296,10594,36297,6345
TK4401,TK,TC-LLC,B789,LHR,JFK,2026-03-17T11:00,2026-03-17T18:52,2026-03-17T11:02,2026-03-17T18:53,270,30,221,20,1212,14000,179950,4338,21096,18842,35417,12042,2479,8990,10594,32491,5540
TK4301,TK,TC-LJA,B77W,CDG,JFK,2026-03-17T12:20,2026-03-17T20:36,2026-03-17T13:23,2026-03-17T21:24,300,49,246,33,14740,20000,219222,5022,29235,24920,44500,16317,2596,11136,14179,47089,5833
TK6101,TK,TC-LLB,B789,FRA,NRT,2026-03-17T13:20,2026-03-18T02:14,2026-03-17T14:32,2026-03-18T03:11,270,30,221,20,1212,14000,211860,4338,37705,30812,57917,19692,4054,18577,11546,53152,9366
TK5201,TK,TC-LJC,B77W,DOH,BKK,2026-03-17T13:45,2026-03-17T21:17,2026-03-17T14:26,2026-03-17T21:43,300,49,246,33,1212,20000,161532,5022,28830,22960,41000,15033,2392,7700,6746,42749,5280
TK4403,TK,TC-JNA,A333,LHR,ORD,2026-03-17T14:00,2026-03-17T22:56,2026-03-17T14:26,2026-03-17T23:09,261,28,214,19,8250,15000,170404,4194,17797,20370,33950,12933,2829,9771,8986,39324,6345
LH792,LH,D-AIXC,B789,FRA,SIN,2026-03-17T21:30,2026-03-18T11:36,2026-03-17T22:00,2026-03-18T11:51,270,30,213,18,13931,14000,246227,4158,48680,34059,64021,21767,4481,16679,10594,58796,10278
TK7501,TK,TC-JHC,B738,SAW,ESB,2026-03-18T07:15,2026-03-18T08:15,2026-03-18T07:18,2026-03-18T08:17,151,14,124,10,270,2500,4032,2412,13,1330,1600,800,350,252,1139,1795,323
EK354,EK,A6-EPA,B789,DXB,SIN,2026-03-18T09:00,2026-03-18T17:16,2026-03-18T09:33,2026-03-18T17:34,270,30,211,18,7922,14000,138814,4122,15743,19369,36408,12379,2549,9485,10594,33437,5845
TK4999,TK,TC-JNC,A333,FRA,JFK,2026-03-18T09:20,2026-03-18T18:04,2026-03-18T10:19,2026-03-18T18:48,261,28,214,19,9000,15000,162178,4194,18937,19740,32900,12533,2742,9803,10072,38418,6189
IB6253,IB,EC-MXV,A333,MAD,JFK,2026-03-18T12:40,2026-03-18T20:50,2026-03-18T13:00,2026-03-18T21:00,261,28,189,14,2141,15000,125669,3654,32079,19981,33301,12687,2774,7606,6088,37953,5762
TK4501,TK,TC-JNB,A333,MAD,JFK,2026-03-18T13:30,2026-03-18T21:40,2026-03-18T13:35,2026-03-18T21:42,261,28,214,19,8700,15000,152776,4194,17044,18480,30800,11733,2567,9127,10072,35945,5762
TK6201,TK,TC-LJA,B77W,AMS,BKK,2026-03-18T14:15,2026-03-19T02:57,2026-03-18T14:48,2026-03-19T03:15,300,49,246,33,121,20000,207555,5022,47517,38360,68500,25117,3996,13426,6746,72387,9207
TK5203,TK,TC-JNC,A333,DOH,NRT,2026-03-18T14:30,2026-03-19T02:00,2026-03-18T14:31,2026-03-19T02:00,261,28,214,19,1212,15000,188490,4194,30047,26040,43400,16533,3617,16065,10978,50653,8298
AF166,AF,F-GSPX,A333,CDG,BKK,2026-03-18T22:10,2026-03-19T11:11,2026-03-18T22:28,2026-03-19T11:20,261,28,184,14,3510,15000,200984,3564,86233,32762,54604,20802,4549,12471,6088,62233,9448
